Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?InsertDataIntoMap@DiskCache@Diagnostics@Foundation@Windows@@IEAAJPEAUHSTRING__@@000EPEAUIPropertyValueStatics@34@@Z,0x180016f66,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"OperationName:AnsiString, Key:UnicodeString",Direct-Preceding
?ParseFileContent@DiskCache@Diagnostics@Foundation@Windows@@AEAAJPEAGPEAUIPropertyValueStatics@34@@Z,0x180017b51,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"OperationName:AnsiString, HResult:Int32, Key:UnicodeString",Direct-Preceding
?ParseFileContent@DiskCache@Diagnostics@Foundation@Windows@@AEAAJPEAGPEAUIPropertyValueStatics@34@@Z,0x180017d65,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"OperationName:AnsiString, HResult:Int32, LineContent:UnicodeString",Direct-Preceding
?ParseFileContent@DiskCache@Diagnostics@Foundation@Windows@@AEAAJPEAGPEAUIPropertyValueStatics@34@@Z,0x180017db7,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"OperationName:AnsiString, HResult:Int32, HResultOfJsonStringify:Int32",Direct-Preceding
?RuntimeClassInitialize@DiskCache@Diagnostics@Foundation@Windows@@QEAAJPEAUHSTRING__@@PEBD@Z,0x1800187c0,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"OperationName:AnsiString, HResult:Int32, FileContent:UnicodeString",Direct-Preceding
?RuntimeClassInitialize@DiskCache@Diagnostics@Foundation@Windows@@QEAAJPEAUHSTRING__@@PEBD@Z,0x180018923,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},DiskCache,5,0x400000000000,"__TlgCV__:AnsiString, PartB_Ms.Qos.IncomingServiceRequest:Struct(Win32Error), operationName:AnsiString, targetUri:AnsiString, latencyMs:Int32, serviceErrorCode:Int32, succeeded:UInt8(Boolean), requestMethod:AnsiString, responseContentType:AnsiString, protocol:AnsiString, protocolStatusCode:AnsiString, operationVersion:AnsiString, callerIpAddress:AnsiString, callerName:AnsiString, requestSizeBytes:Int32, FileName:UnicodeString, FileSize:Int64",Direct-Preceding
?CheckIfPresentUsingErrorTitleLocale@DiskCache@Diagnostics@Foundation@Windows@@UEAAJPEAUHSTRING__@@00PEAPEAUICacheValue@234@@Z,0x180016594,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, ErrorId:UnicodeString, TitleId:UnicodeString, Locale:UnicodeString, CreatedKey:UnicodeString",Direct-Preceding
?CheckIfPresentUsingErrorTitleLocale@DiskCache@Diagnostics@Foundation@Windows@@UEAAJPEAUHSTRING__@@00PEAPEAUICacheValue@234@@Z,0x18001667d,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, FoundCacheEntry:UInt8(Boolean), CreatedKey:UnicodeString",Direct-Preceding
?CheckIfPresentUsingErrorTitleLocale@DiskCache@Diagnostics@Foundation@Windows@@UEAAJPEAUHSTRING__@@00PEAPEAUICacheValue@234@@Z,0x180016742,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CheckIfPresentUsingErrorTitleLocale@DiskCache@Diagnostics@Foundation@Windows@@UEAAJPEAUHSTRING__@@00PEAPEAUICacheValue@234@@Z,0x1800167df,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CheckSuccessWithContent@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUIHttpResponseMessage@Http@Web@4@PEAPEAUIHttpContent@674@@Z,0x18000f5cb,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, success:Bool32",Direct-Preceding
?CheckSuccessWithContent@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUIHttpResponseMessage@Http@Web@4@PEAPEAUIHttpContent@674@@Z,0x18000f675,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CheckSuccessWithContent@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUIHttpResponseMessage@Http@Web@4@PEAPEAUIHttpContent@674@@Z,0x18000f710,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CheckSuccessWithContent@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUIHttpResponseMessage@Http@Web@4@PEAPEAUIHttpContent@674@@Z,0x18000f7c0,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, StatusCode:UInt32",Direct-Preceding
?CheckSuccessWithContent@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUIHttpResponseMessage@Http@Web@4@PEAPEAUIHttpContent@674@@Z,0x18000f844,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?ConvertErrorContextVectorToErrorContextArray@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAU?$IVector@PEAUIErrorContext@Internal@Diagnostics@Foundation@Windows@@@Collections@34@PEAIPEAPEAUERROR_CONTEXT@@@Z,0x18000fb54,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?ConvertErrorContextVectorToErrorContextArray@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAU?$IVector@PEAUIErrorContext@Internal@Diagnostics@Foundation@Windows@@@Collections@34@PEAIPEAPEAUERROR_CONTEXT@@@Z,0x18000fc70,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, index:Int32",Direct-Preceding
?ConvertErrorContextVectorToErrorContextArray@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAU?$IVector@PEAUIErrorContext@Internal@Diagnostics@Foundation@Windows@@@Collections@34@PEAIPEAPEAUERROR_CONTEXT@@@Z,0x18000fd35,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, index:Int32",Direct-Preceding
?ConvertErrorContextVectorToErrorContextArray@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAU?$IVector@PEAUIErrorContext@Internal@Diagnostics@Foundation@Windows@@@Collections@34@PEAIPEAPEAUERROR_CONTEXT@@@Z,0x18000fdf4,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString, index:Int32",Direct-Preceding
?ConvertErrorContextVectorToErrorContextArray@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAU?$IVector@PEAUIErrorContext@Internal@Diagnostics@Foundation@Windows@@@Collections@34@PEAIPEAPEAUERROR_CONTEXT@@@Z,0x18000feae,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x180010028,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x1800100d4,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x180010184,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x180010234,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x1800102e6,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
?CopyCacheDataToErrorDetails@CloudErrorMessages@Diagnostics@Foundation@Windows@@AEAAJPEAUERROR_DETAILS@@PEAPEAUIErrorDetails@234@@Z,0x1800103b1,Microsoft.Foundation.Diagnostics.ErrorDetails,{2B6DBADC-BA94-4BA2-B12C-E4B15F73C15B},ErrorDetailsTelemetry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, FileName:AnsiString, LineNumber:Int32, HResult:Int32, TraceMsg:AnsiString",Direct-Preceding
