Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VCharmapTelemetryProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14001adf5,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VCharmapTelemetryProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14001af3d,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VCharmapTelemetryProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x14001d36a,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0CAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x140014867,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},ActivityStoppedAutomatically,5,0x200000000000,(none),SingleProvider
?CharMapLaunchedSuccessfully@CharmapTelemetry@@SAXXZ,0x1400171de,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},CharMapLaunchedSuccessfully,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?CharMapNormalUILaunchStarted@CharmapTelemetry@@SAXXZ,0x14001722e,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},CharMapNormalUILaunchStarted,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?CharMapScaledUILaunchStarted@CharmapTelemetry@@SAXXZ,0x14001727e,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},CharMapScaledUILaunchStarted,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?LogCharacterAdded_@CharmapTelemetry@@QEBAXG@Z,0x14001a63f,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},CharacterAdded,5,0x200000000000,Character:UInt16,SingleProvider
?StartActivity@Execution@CharmapTelemetry@@QEAAXXZ,0x14001d21e,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},Execution,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@Execution@CharmapTelemetry@@MEAAXXZ,0x14001d442,Microsoft.Windows.Desktop.Shell.Charmap,{8FE8EBD4-0F51-5F91-9481-CD2CFEFDF96E},Execution,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
