Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
__KerbGetTgsTicket,0x180037d1f,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},ActivityStoppedAutomatically,5,0x400000000000,(none),Direct-Preceding
?KerbGetTicketGrantingTicketFromAsRepCallback@@YA?AU?$pair@JJ@std@@PEAU_KERB_LOGON_SESSION@@KPEAPEAU_KERB_TICKET_CACHE_ENTRY@@@Z,0x1800cac26,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},AddKeyListReqStart,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32",Direct-Preceding
?KerbGetTicketGrantingTicketFromAsRepCallback@@YA?AU?$pair@JJ@std@@PEAU_KERB_LOGON_SESSION@@KPEAPEAU_KERB_TICKET_CACHE_ENTRY@@@Z,0x1800cacef,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},AddKeyListReqStop,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32, status:Int32",Direct-Preceding
?KerbILogonUserEx3@@YAJPEAPEAXW4_SECURITY_LOGON_TYPE@@PEAX2KPEAU_SECPKG_SURROGATE_LOGON@@W4KERB_CONVERT_WOW_LOGON@@0PEAKPEAU_LUID@@PEAJPEAW4_LSA_TOKEN_INFORMATION_TYPE@@0PEAPEAU_UNICODE_STRING@@99PEAU_SECPKG_PRIMARY_CRED@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x180044016,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},CachedFidoSignInStart,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32",Direct-Preceding
?KerbILogonUserEx3@@YAJPEAPEAXW4_SECURITY_LOGON_TYPE@@PEAX2KPEAU_SECPKG_SURROGATE_LOGON@@W4KERB_CONVERT_WOW_LOGON@@0PEAKPEAU_LUID@@PEAJPEAW4_LSA_TOKEN_INFORMATION_TYPE@@0PEAPEAU_UNICODE_STRING@@99PEAU_SECPKG_PRIMARY_CRED@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x18004410e,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},CachedFidoSignInStop,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32, status:Int32",Direct-Preceding
?KerbINlChangeMachinePassword@@YAJE@Z,0x1800d306d,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},ChangeIsolatedMachineSecret,5,0x400000000000,"Count:Int64, status:UInt32(NTStatus), migrationNeeded:Bool32, policy:Int32, exitReason:Int32, PartA_PrivTags:UInt64",Direct-Preceding
?KerbInitializeCloudKerbFromAsRepCredential@@YAJPEAU_KERB_LOGON_SESSION@@PEAU_KERB_AS_REP_PROCESSED_CREDENTIAL@@@Z,0x1800cb1ae,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},CloudKerberosInitializationStart,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32",Direct-Preceding
_lambda_9a032911688da26d1bb7139c1d9b5db1_::operator(),0x1800c7e0d,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},CloudKerberosInitializationStop,5,0x400000000000,"PartA_PrivTags:UInt64, threadId:UInt32, status:Int32, ReferralStatus:UInt32, KdcProxyStatus:UInt32, SpnOracleStatus:UInt32",Direct-Preceding
?DmsaApRepRetry@KerbTelemetry@@YAX_NJ0@Z,0x1800a6afa,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},DmsaApRepRetry_Aggregate,5,0x400000000000,"Count:Int64, IsUnderMigration:Bool32, RetriedDecryption:Bool32, Status:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
?DmsaKeyFetchServiceTicketDecryptionRetry@KerbTelemetry@@YAXAEBU_LUID@@AEBT_LARGE_INTEGER@@1J@Z,0x1800a6cd0,Microsoft.Windows.Security.Kerberos,{8A4FC74E-B158-4FC1-A266-F7670C6AA75D},DmsaKeyFetchTicketDecryptionRetry_Aggregate,5,0x400000000000,"Count:Int64, LUID:UInt64, FetchTime:Int64, ExpirationTime:Int64, Status:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
