Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ComparePreviousDisksWithCurrent@@YAJPEAV_bstr_t@@PEAJPEAV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x180017c09,Microsoft.Windows.Storage.DiskMonitorMigrationPlugin,{5A50496B-FD09-5318-20D4-9133E63B82FF},DiskStateChanges,5,0x800000000000,"PartA_PrivTags:UInt64, disks:Int32, partitions:Int32, volumes:Int32, emptyDisks:Int32, rawVolumes:Int32, allChangesUsb:UInt8(Boolean), previousDiskState:CountedString, currentDiskState:CountedString",Direct-Preceding
?ComparePreviousDisksWithCurrent@@YAJPEAV_bstr_t@@PEAJPEAV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x180017d84,Microsoft.Windows.Storage.DiskMonitorMigrationPlugin,{5A50496B-FD09-5318-20D4-9133E63B82FF},DiskStateChanges,5,0x400000000000,"PartA_PrivTags:UInt64, disks:Int32, partitions:Int32, volumes:Int32, emptyDisks:Int32, rawVolumes:Int32, allChangesUsb:UInt8(Boolean), previousDiskState:CountedString, currentDiskState:CountedString",Direct-Preceding
?ComparePreviousDisksWithCurrent@@YAJPEAV_bstr_t@@PEAJPEAV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x18001a1da,Microsoft.Windows.Storage.DiskMonitorMigrationPlugin,{5A50496B-FD09-5318-20D4-9133E63B82FF},DiskStateLoadFailed,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?ComparePreviousDisksWithCurrent@@YAJPEAV_bstr_t@@PEAJPEAV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x18001782b,Microsoft.Windows.Storage.DiskMonitorMigrationPlugin,{5A50496B-FD09-5318-20D4-9133E63B82FF},DiskStateUnchanged,5,0x400000000000,"PartA_PrivTags:UInt64, currentDiskState:CountedString",Direct-Preceding
?EnumerateExistingDisks@DiskMonitor@@QEAAXXZ,0x180015381,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DeviceInterfaceLink,5,0x0,Link:UnicodeString,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x1800130cc,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties,5,0x0,DiskInterfaceName:UnicodeString,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x180013850,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceAlignment,5,0x0,"BytesPerLogicalSector:Int32, BytesPerPhysicalSector:Int32",Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x180013407,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceAttributes,5,0x0,Attributes:UInt64,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x180013614,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceDescriptor,5,0x0,"RemovableMedia:Int32, BusType:Int32, VendorId:AnsiString, ProductId:AnsiString, ProductRevision:AnsiString, SerialNumber:AnsiString",Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x180013361,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceGeometry,5,0x0,"MediaType:Int32, BytesPerSector:Int32, DiskSize:UInt64, PartitionStyle:Int32, Detectiontype:Int32",Direct-Preceding
