Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VProvOpsLoggingProvider@Logging@Provisioning@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180013e71,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VProvOpsLoggingProvider@Logging@Provisioning@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180013fc4,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VProvOpsLoggingProvider@Logging@Provisioning@Management@Internal@Windows@@$0A@$0A@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800142d1,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VProvOpsLoggingProvider@Logging@Provisioning@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180019716,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VProvOpsLoggingProvider@Logging@Provisioning@Management@Internal@Windows@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180019892,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0A@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000c459,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityStoppedAutomatically,4,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000c4b1,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000c526,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
??1AutoDeleteFileStream@@UEAA@XZ,0x180034292,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},AutoDeleteFileStreamFailed,2,0x0,Path:UnicodeString,GlobalFallback
?IsTrusted@PackageCatalog@@QEAA_NV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEA_N@Z,0x18002f7a7,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CertificateChainTrustStatusNotSuccess,2,0x0,"Status:UInt32, FilePath:UnicodeString",GlobalFallback
?StartActivity@CheckFirstRun@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@QEAAXXZ,0x180018890,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CheckFirstRun,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@CheckFirstRun@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@MEAAXXZ,0x1800199c3,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CheckFirstRun,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@CheckFirstRun@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@MEAAXXZ,0x180019b72,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CheckFirstRun,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?CheckPackageSignature@ProvPackageValidator@@QEAA_NAEBVProvPackage@@@Z,0x180024fb4,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CheckPackageSignatureOpenPkgFailed,2,0x0,(none),GlobalFallback
?CopyFileW@PackageCopier@@QEAAHAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z,0x18002ceb7,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CopyFile2Failed,2,0x0,"FullSourcePath:UnicodeString, FullDestinationPath:UnicodeString, HResult:Int32",GlobalFallback
?CopyFileW@PackageCopier@@QEAAHAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z,0x18002cd17,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CopyingDirectoriesIsNotSupported,3,0x0,SourcePath:UnicodeString,GlobalFallback
CreateCategoryReader,0x180032eb0,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CreateCategoryReaderFromPath,5,0x0,Path:UnicodeString,GlobalFallback
?StartActivity@CreateProvisioningSession@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@QEAAXXZ,0x1800189eb,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CreateProvisioningSession,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@CreateProvisioningSession@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@MEAAXXZ,0x180019ca3,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CreateProvisioningSession,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@CreateProvisioningSession@ProvOpsTelemetry@Logging@Provisioning@Management@Internal@Windows@@MEAAXXZ,0x180019e52,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},CreateProvisioningSession,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?PostProvisioningActivities@@YAXPEAUIMVEngine@@K@Z,0x180014785,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},DebugTrace,5,0x0,debugString:AnsiString,CallGraph-d1
?DecryptCollection@PackageDecryptor@@QEAAXPEAV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@PEBQEBG_KPEAV?$vector@_NV?$allocator@_N@std@@@3@@Z,0x1800272ec,Microsoft.Windows.Provisioning.Operations,{7F99598F-B2C1-4371-9911-63DEE13B9EB1},DecryptCollectionOpenPkgFailed,2,0x0,(none),GlobalFallback
