Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?EvaluateRequest@AccessControlDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@QEAA_NAEBUDehRequest@OSIntegration@45Internal@68@@Z,0x18000286b,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},AccessControl.EvaluateRequest,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, SDDL:UnicodeString, Line:UInt32, Column:UInt32, PartA_PrivTags:UInt64",SingleProvider
?EvaluateRequest@AccessControlDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@QEAA_NAEBUDehRequest@OSIntegration@45Internal@68@@Z,0x180002bdd,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},AccessControl.EvaluateRequest.AccessCheck,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, SDDL:UnicodeString, TargetUserSid:SID, PartA_PrivTags:UInt64",SingleProvider
?EvaluateRequest@AccessControlDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@QEAA_NAEBUDehRequest@OSIntegration@45Internal@68@@Z,0x180002989,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},AccessControl.EvaluateRequest.SddlToSecurityDescriptor,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, SDDL:UnicodeString, Line:UInt32, Column:UInt32, PartA_PrivTags:UInt64",SingleProvider
?EvaluateRequest@AccessControlDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@QEAA_NAEBUDehRequest@OSIntegration@45Internal@68@@Z,0x180002d5c,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},AccessControl.EvaluateRequest.SddlToSecurityDescriptor,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, SDDL:UnicodeString, Line:UInt32, Column:UInt32, PartA_PrivTags:UInt64",SingleProvider
?NotifyFailure@?$ActivityBase@VDeploymentExtensions_DEH_Provider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180012e27,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VDeploymentExtensions_DEH_Provider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800058de,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180013f31,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ActivityStoppedAutomatically,5,0x0,(none),SingleProvider
?CreateMachineFolder@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAJAEBUMachineFolderInformation@12345678@@Z,0x18001a23f,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, SDDL:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateMachineFolder@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAJAEBUMachineFolderInformation@12345678@@Z,0x18001a3a3,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, SDDL:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateMachineFolder@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAJAEBUMachineFolderInformation@12345678@@Z,0x18001a659,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, SDDL:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateApplicationDataFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001abf3,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.ApplicationDataFolder,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateApplicationDataFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001ad42,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.ApplicationDataFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateFamiliesFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001a8cb,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.FamiliesFolder,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreateFamiliesFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001aa18,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.FamiliesFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreatePackageFamilyFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001af0f,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.PackageFamilyFolder,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?CreatePackageFamilyFolderIfNecessary@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEBAJAEBUMachineFolderInformation@12345678@@Z,0x18001b05e,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.CreateMachineFolder.PackageFamilyFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?DeleteMachineFolder@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAJAEBUMachineFolderInformation@12345678@@Z,0x18001b2fb,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.DeleteMachineFolder,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?DeleteMachineFolder@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAJAEBUMachineFolderInformation@12345678@@Z,0x18001b43f,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.DeleteMachineFolder,4,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, Path:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?EvaluateIncomingPackage@ApplicationDataDeh@implementation@DEH@Deployment@Management@Windows@Microsoft@winrt@@AEAAXAEBUPackage@OSIntegration@45Internal@68@@Z,0x180019232,Microsoft.Windows.MSIXDeployment.DEH,{D54A332B-0C0F-435C-B8D8-D2589F51352C},ApplicationData.EvaluateRequest.SddlToSecurityDescriptor,2,0x0,"ErrorCode:Int32(HResult), Package:UnicodeString, SDDL:UnicodeString, Line:UInt32, Column:UInt32, PartA_PrivTags:UInt64",SingleProvider
